investor_id,transaction_date,amfi_code,transaction_type,amount_inr,state,city,city_tier,age_group,gender,annual_income_lakh,payment_mode,kyc_status,transaction_id
INV002976,2024-01-02,119599,LUMPSUM,234926,Tamil Nadu,Coimbatore,B30,26-35,Male,23.7,Mandate,Verified,TX_000089
INV000349,2024-01-02,120505,REDEMPTION,335222,Maharashtra,Mumbai,T30,18-25,Female,3.8,Mandate,Verified,TX_000090
INV002546,2024-01-02,101208,REDEMPTION,22305,Gujarat,Surat,T30,26-35,Male,19.3,UPI,Verified,TX_000091
INV003505,2024-01-02,120843,LUMPSUM,362856,West Bengal,Kolkata,T30,56+,Female,53.5,Net Banking,Verified,TX_000092
INV000006,2024-01-02,118633,SIP,8594,Madhya Pradesh,Bhopal,B30,46-55,Female,43.0,Cheque,Verified,TX_000093
INV000662,2024-01-02,120843,SIP,427,Gujarat,Surat,T30,36-45,Female,20.1,Cheque,Verified,TX_000094
INV001284,2024-01-02,119092,LUMPSUM,6499,West Bengal,Kolkata,T30,36-45,Male,49.0,Cheque,Verified,TX_000095
INV004127,2024-01-02,148568,SIP,4185,Madhya Pradesh,Indore,T30,36-45,Female,27.3,Mandate,Verified,TX_000096
INV003208,2024-01-02,120506,SIP,2506,Madhya Pradesh,Bhopal,B30,46-55,Male,80.0,Mandate,Verified,TX_000097
INV002165,2024-01-02,118634,SIP,2539,Telangana,Hyderabad,T30,46-55,Male,46.2,Net Banking,Verified,TX_000098
INV002621,2024-01-02,148567,SIP,401,Uttar Pradesh,Agra,B30,26-35,Female,22.6,UPI,Pending,TX_000099
INV004502,2024-01-02,148567,SIP,10492,Rajasthan,Udaipur,B30,36-45,Male,59.0,Net Banking,Verified,TX_000100
INV001174,2024-01-02,149323,SIP,977,Maharashtra,Nashik,B30,36-45,Male,12.7,Cheque,Verified,TX_000101
INV004658,2024-01-02,120842,LUMPSUM,17258,Punjab,Chandigarh,T30,56+,Male,48.7,Cheque,Verified,TX_000102
INV004656,2024-01-02,120844,LUMPSUM,357937,Haryana,Gurugram,T30,18-25,Male,4.7,Mandate,Verified,TX_000103
INV003658,2024-01-02,125498,SIP,12014,West Bengal,Kolkata,T30,26-35,Male,6.3,UPI,Verified,TX_000104
INV003649,2024-01-02,119598,REDEMPTION,483596,Haryana,Gurugram,T30,46-55,Female,79.9,Cheque,Verified,TX_000105
INV004582,2024-01-02,149323,LUMPSUM,249744,Tamil Nadu,Chennai,T30,56+,Male,67.1,Net Banking,Verified,TX_000106
INV003232,2024-01-02,120842,SIP,9766,Maharashtra,Pune,T30,36-45,Female,30.9,Mandate,Verified,TX_000107
INV004414,2024-01-02,149324,SIP,14409,Uttar Pradesh,Lucknow,T30,26-35,Male,6.6,Mandate,Verified,TX_000108
INV001799,2024-01-02,119120,LUMPSUM,116421,Rajasthan,Udaipur,B30,56+,Female,45.2,Cheque,Verified,TX_000109
INV001506,2024-01-02,119552,LUMPSUM,19502,Delhi,Noida,T30,26-35,Female,16.0,UPI,Verified,TX_000110
INV001699,2024-01-02,119095,SIP,1108,Madhya Pradesh,Indore,T30,26-35,Male,24.6,Net Banking,Verified,TX_000111
INV002196,2024-01-02,148569,SIP,1696,Delhi,Gurugram,T30,26-35,Female,23.6,UPI,Verified,TX_000112
INV001328,2024-01-02,120842,REDEMPTION,484947,Uttar Pradesh,Lucknow,T30,26-35,Male,7.4,Net Banking,Verified,TX_000113
INV004567,2024-01-02,120841,SIP,14130,Telangana,Hyderabad,T30,56+,Male,75.0,Mandate,Verified,TX_000114
INV003865,2024-01-02,149322,SIP,3482,Gujarat,Ahmedabad,T30,18-25,Female,3.3,Cheque,Verified,TX_000115
INV000105,2024-01-02,119093,SIP,5253,Punjab,Chandigarh,T30,56+,Male,41.4,UPI,Verified,TX_000116
INV004514,2024-01-02,148568,SIP,16661,Haryana,Faridabad,B30,46-55,Male,40.1,Mandate,Verified,TX_000117
INV004516,2024-01-02,102885,SIP,1137,Haryana,Gurugram,T30,36-45,Male,14.4,Net Banking,Verified,TX_000118
INV002374,2024-01-02,118634,REDEMPTION,81173,Uttar Pradesh,Kanpur,B30,26-35,Female,8.6,Net Banking,Verified,TX_000119
INV001727,2024-01-02,119598,SIP,16687,Gujarat,Surat,T30,46-55,Female,74.1,Net Banking,Verified,TX_000120
INV002888,2024-01-03,100025,REDEMPTION,259110,Rajasthan,Udaipur,B30,26-35,Male,9.2,Net Banking,Pending,TX_000121
INV001769,2024-01-03,120506,SIP,889,Punjab,Chandigarh,T30,18-25,Male,7.4,Cheque,Pending,TX_000122
INV003609,2024-01-03,120843,SIP,16476,Karnataka,Mysore,B30,26-35,Male,9.2,Net Banking,Verified,TX_000123
INV003571,2024-01-03,149323,SIP,536,Haryana,Faridabad,B30,36-45,Male,53.1,UPI,Verified,TX_000124
INV001367,2024-01-03,118632,SIP,10274,Maharashtra,Nashik,B30,36-45,Male,32.2,Net Banking,Verified,TX_000125
INV003178,2024-01-03,119094,LUMPSUM,118897,Telangana,Hyderabad,T30,46-55,Female,60.9,Cheque,Verified,TX_000126
INV002599,2024-01-03,100025,LUMPSUM,286111,Gujarat,Surat,T30,26-35,Male,11.4,Net Banking,Verified,TX_000127
INV003626,2024-01-03,125497,REDEMPTION,483044,Madhya Pradesh,Indore,T30,26-35,Male,23.5,Net Banking,Verified,TX_000128
INV000690,2024-01-03,148569,LUMPSUM,173646,Delhi,Gurugram,T30,46-55,Male,98.7,UPI,Verified,TX_000129
INV001860,2024-01-03,119092,SIP,1978,Karnataka,Mysore,B30,26-35,Female,9.0,Cheque,Verified,TX_000130
INV002065,2024-01-03,100025,SIP,47647,Rajasthan,Udaipur,B30,46-55,Male,78.6,UPI,Verified,TX_000131
INV002708,2024-01-03,120504,REDEMPTION,205486,Karnataka,Mysore,B30,26-35,Male,14.0,Mandate,Verified,TX_000132
INV004288,2024-01-03,119120,LUMPSUM,95676,Punjab,Amritsar,B30,18-25,Female,6.1,Mandate,Verified,TX_000133
INV004581,2024-01-03,120505,SIP,2292,Gujarat,Surat,T30,26-35,Male,14.7,Cheque,Pending,TX_000134
INV002467,2024-01-03,125498,SIP,50948,Punjab,Chandigarh,T30,36-45,Male,12.3,UPI,Verified,TX_000135
INV003670,2024-01-03,120505,SIP,8793,Punjab,Chandigarh,T30,36-45,Male,38.4,Mandate,Verified,TX_000136
INV004024,2024-01-03,119552,SIP,43121,Telangana,Hyderabad,T30,36-45,Male,23.1,UPI,Verified,TX_000137
INV000747,2024-01-03,120841,LUMPSUM,374549,West Bengal,Kolkata,T30,36-45,Female,40.3,Mandate,Verified,TX_000138
INV002847,2024-01-03,148567,SIP,4736,Haryana,Faridabad,B30,26-35,Male,13.4,Mandate,Verified,TX_000139
INV001508,2024-01-03,120503,SIP,7953,Tamil Nadu,Coimbatore,B30,46-55,Male,63.3,Cheque,Verified,TX_000140
INV004562,2024-01-03,149324,SIP,963,Telangana,Hyderabad,T30,26-35,Female,19.0,Cheque,Pending,TX_000141
INV001350,2024-01-03,125498,LUMPSUM,83480,Madhya Pradesh,Bhopal,B30,46-55,Female,31.7,Net Banking,Verified,TX_000142
INV002357,2024-01-03,100016,SIP,26713,Delhi,Gurugram,T30,26-35,Male,7.8,UPI,Verified,TX_000143
INV002059,2024-01-03,101208,LUMPSUM,268619,Haryana,Faridabad,B30,46-55,Male,95.1,Net Banking,Verified,TX_000144
INV000595,2024-01-03,102887,LUMPSUM,124825,Gujarat,Surat,T30,18-25,Male,7.6,Cheque,Verified,TX_000145
INV004391,2024-01-03,118636,SIP,484,Maharashtra,Mumbai,T30,26-35,Female,23.3,UPI,Verified,TX_000146
INV004733,2024-01-03,102885,SIP,7080,Telangana,Hyderabad,T30,18-25,Male,5.4,Net Banking,Pending,TX_000147
INV002865,2024-01-03,148569,REDEMPTION,449863,Maharashtra,Pune,T30,18-25,Male,3.3,UPI,Verified,TX_000148
INV000454,2024-01-03,119599,SIP,15910,Uttar Pradesh,Lucknow,T30,18-25,Female,6.6,Net Banking,Verified,TX_000149
INV002414,2024-01-03,120507,LUMPSUM,396379,Gujarat,Surat,T30,26-35,Female,24.1,UPI,Verified,TX_000150
INV000321,2024-01-03,149323,SIP,15782,Maharashtra,Mumbai,T30,26-35,Male,24.2,Cheque,Verified,TX_000151
INV003379,2024-01-03,120841,SIP,1008,Uttar Pradesh,Lucknow,T30,36-45,Male,43.2,Cheque,Verified,TX_000152
INV004544,2024-01-03,148567,REDEMPTION,410715,Maharashtra,Mumbai,T30,36-45,Male,52.1,Cheque,Verified,TX_000153
INV000527,2024-01-03,119094,LUMPSUM,114021,Telangana,Hyderabad,T30,26-35,Male,12.1,Mandate,Verified,TX_000154
INV004633,2024-01-03,125498,LUMPSUM,296354,Telangana,Hyderabad,T30,18-25,Female,4.9,Net Banking,Verified,TX_000155
INV003737,2024-01-03,119093,LUMPSUM,126721,Punjab,Chandigarh,T30,18-25,Male,4.4,Net Banking,Verified,TX_000156
INV000679,2024-01-03,149323,REDEMPTION,141968,Haryana,Faridabad,B30,46-55,Female,79.1,UPI,Verified,TX_000157
INV004357,2024-01-03,125498,SIP,2459,Delhi,Gurugram,T30,46-55,Female,55.6,Cheque,Verified,TX_000158
INV004941,2024-01-03,120505,LUMPSUM,310085,Maharashtra,Nashik,B30,26-35,Male,11.0,Net Banking,Verified,TX_000159
INV000632,2024-01-03,120844,LUMPSUM,246606,Delhi,Gurugram,T30,36-45,Male,49.1,UPI,Verified,TX_000160
INV000849,2024-01-03,148567,LUMPSUM,254442,Delhi,Gurugram,T30,56+,Female,32.5,Cheque,Verified,TX_000161
INV001167,2024-01-03,118636,SIP,41124,Punjab,Amritsar,B30,36-45,Male,26.7,Net Banking,Verified,TX_000162
INV000007,2024-01-03,119094,SIP,13603,Uttar Pradesh,Kanpur,B30,26-35,Male,21.9,Mandate,Verified,TX_000163
INV000431,2024-01-03,120504,SIP,23759,Madhya Pradesh,Bhopal,B30,18-25,Female,4.6,Mandate,Verified,TX_000164
INV002417,2024-01-03,120842,SIP,2719,Tamil Nadu,Coimbatore,B30,26-35,Male,16.8,Mandate,Verified,TX_000165
INV000011,2024-01-03,120507,SIP,2230,West Bengal,Kolkata,T30,26-35,Male,9.6,Mandate,Verified,TX_000166
INV001167,2024-01-03,102886,SIP,8419,Punjab,Amritsar,B30,36-45,Male,26.7,UPI,Verified,TX_000167
INV000954,2024-01-03,148568,SIP,2224,Haryana,Faridabad,B30,26-35,Female,8.3,Cheque,Verified,TX_000168
INV002101,2024-01-03,102887,REDEMPTION,234810,Uttar Pradesh,Lucknow,T30,26-35,Male,14.7,Mandate,Verified,TX_000169
INV000947,2024-01-03,101208,REDEMPTION,281989,Delhi,Noida,T30,26-35,Male,11.0,UPI,Verified,TX_000170
INV004867,2024-01-03,100033,LUMPSUM,331777,Karnataka,Bangalore,T30,18-25,Male,7.3,Mandate,Verified,TX_000171
INV004125,2024-01-03,100016,SIP,2999,Gujarat,Surat,T30,26-35,Male,9.4,Cheque,Verified,TX_000172
INV001910,2024-01-03,102886,REDEMPTION,502057,Karnataka,Mysore,B30,26-35,Female,15.2,Mandate,Verified,TX_000173
INV001411,2024-01-03,102886,SIP,2998,Delhi,Gurugram,T30,26-35,Female,7.1,Cheque,Verified,TX_000174
INV003326,2024-01-03,125498,SIP,2712,Karnataka,Bangalore,T30,36-45,Male,40.9,Mandate,Verified,TX_000175
INV004173,2024-01-03,120504,SIP,479,West Bengal,Kolkata,T30,26-35,Male,16.9,Mandate,Verified,TX_000176
INV004867,2024-01-03,120506,SIP,3082,Karnataka,Bangalore,T30,18-25,Male,7.3,UPI,Pending,TX_000177
INV001454,2024-01-03,120843,SIP,554,Tamil Nadu,Chennai,T30,26-35,Male,9.3,Net Banking,Verified,TX_000178
INV003100,2024-01-04,149324,LUMPSUM,361700,Telangana,Hyderabad,T30,26-35,Male,16.5,Net Banking,Verified,TX_000179
INV000215,2024-01-04,120505,LUMPSUM,190843,Maharashtra,Nashik,B30,26-35,Female,18.3,Mandate,Verified,TX_000180
INV003191,2024-01-04,119092,LUMPSUM,94475,Madhya Pradesh,Bhopal,B30,18-25,Female,6.8,Mandate,Verified,TX_000181
INV003946,2024-01-04,120504,LUMPSUM,465127,Karnataka,Mysore,B30,26-35,Female,9.2,Net Banking,Verified,TX_000182
INV000330,2024-01-04,119552,SIP,8747,Madhya Pradesh,Bhopal,B30,26-35,Female,11.9,Mandate,Verified,TX_000183
INV004797,2024-01-04,125497,LUMPSUM,178854,Gujarat,Ahmedabad,T30,56+,Male,18.9,Net Banking,Verified,TX_000184
INV000330,2024-01-04,120841,LUMPSUM,351770,Madhya Pradesh,Bhopal,B30,26-35,Female,11.9,Net Banking,Verified,TX_000185
INV001128,2024-01-04,120844,LUMPSUM,168521,West Bengal,Kolkata,T30,36-45,Female,43.2,Cheque,Verified,TX_000186
INV002302,2024-01-04,125498,LUMPSUM,153713,West Bengal,Kolkata,T30,26-35,Male,10.1,UPI,Verified,TX_000187
INV002495,2024-01-04,118636,SIP,2727,Maharashtra,Nashik,B30,26-35,Male,6.6,Net Banking,Verified,TX_000188
INV002158,2024-01-04,120507,LUMPSUM,39096,Madhya Pradesh,Indore,T30,26-35,Male,14.5,Net Banking,Verified,TX_000189
INV000144,2024-01-04,120503,SIP,499,Delhi,Noida,T30,26-35,Male,19.1,Net Banking,Verified,TX_000190
INV004563,2024-01-04,118634,LUMPSUM,38117,Gujarat,Surat,T30,46-55,Female,32.2,Cheque,Verified,TX_000191
INV002912,2024-01-04,149323,REDEMPTION,520148,Maharashtra,Mumbai,T30,26-35,Female,23.6,Net Banking,Verified,TX_000192
INV002343,2024-01-04,119093,SIP,1182,Punjab,Amritsar,B30,26-35,Male,22.1,Net Banking,Verified,TX_000193
INV000091,2024-01-04,120504,SIP,2368,Haryana,Gurugram,T30,26-35,Male,14.6,Mandate,Verified,TX_000194
INV004688,2024-01-04,120505,LUMPSUM,168104,West Bengal,Kolkata,T30,26-35,Male,20.7,UPI,Verified,TX_000195
INV004321,2024-01-04,120843,SIP,1147,West Bengal,Kolkata,T30,26-35,Male,16.0,Mandate,Verified,TX_000196
INV001579,2024-01-04,125498,SIP,40657,Karnataka,Bangalore,T30,46-55,Male,71.1,UPI,Verified,TX_000197
INV003705,2024-01-04,120506,SIP,57004,Telangana,Hyderabad,T30,26-35,Male,8.0,UPI,Pending,TX_000198
INV000544,2024-01-04,120507,LUMPSUM,295246,Madhya Pradesh,Bhopal,B30,18-25,Male,3.6,Mandate,Verified,TX_000199
INV001997,2024-01-04,120505,SIP,908,Delhi,New Delhi,T30,56+,Female,24.8,UPI,Verified,TX_000200
INV003707,2024-01-04,120506,SIP,3527,Telangana,Hyderabad,T30,36-45,Female,55.5,Mandate,Verified,TX_000201
INV000372,2024-01-04,148569,LUMPSUM,209421,Gujarat,Surat,T30,36-45,Male,12.4,Cheque,Verified,TX_000202
INV001331,2024-01-04,120841,SIP,568,Gujarat,Ahmedabad,T30,26-35,Male,17.5,Net Banking,Verified,TX_000203
INV002033,2024-01-04,102885,SIP,8905,Gujarat,Ahmedabad,T30,46-55,Male,18.9,UPI,Verified,TX_000204
INV003953,2024-01-04,148569,SIP,58436,Maharashtra,Pune,T30,36-45,Male,17.4,Mandate,Verified,TX_000205
INV003500,2024-01-04,120505,SIP,2007,Maharashtra,Mumbai,T30,26-35,Male,15.5,Mandate,Pending,TX_000206
INV003240,2024-01-04,101206,SIP,6686,Haryana,Gurugram,T30,26-35,Male,21.7,Net Banking,Pending,TX_000207
INV003040,2024-01-04,119598,LUMPSUM,468352,Karnataka,Bangalore,T30,26-35,Female,15.3,Cheque,Verified,TX_000208
INV000663,2024-01-04,148568,SIP,558,Haryana,Gurugram,T30,26-35,Female,13.8,Mandate,Pending,TX_000209
INV003083,2024-01-04,125497,LUMPSUM,201815,Madhya Pradesh,Bhopal,B30,56+,Female,41.3,UPI,Verified,TX_000210
INV004131,2024-01-04,101208,SIP,2343,Uttar Pradesh,Kanpur,B30,26-35,Male,10.3,UPI,Verified,TX_000211
INV001806,2024-01-04,102885,SIP,20256,Telangana,Hyderabad,T30,36-45,Male,32.6,UPI,Verified,TX_000212
